sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
104,PARDUS,Pardus,PARDUS PORTFÖY ONÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),POU,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,9135412314.69,73,3.456046,2643312925
105,PARDUS,Pardus,PARDUS PORTFÖY ONYEDİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PO7,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1556039441.61,43,1.028123,1513476425
106,PARDUS,Pardus,PARDUS PORTFÖY PARA PİYASASI (TL) FON,AC4,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),2010540345.02,4214,4.116252,488439575
107,PARDUS,Pardus,PARDUS PORTFÖY SANAYİ SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PST,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,34550864.15,48,0.008183,4222197261
108,PARDUS,Pardus,PARDUS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PSR,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1134886063.17,45,2.733734,415141394
109,PARDUS,Pardus,PARDUS PORTFÖY SEKİZİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),SHI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,772929578.55,46,0.186721,4139493592
110,PARDUS,Pardus,PARDUS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),CSH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,3644151981.5,54,2.30304,1582322640
111,PARDUS,Pardus,PARDUS PORTFÖY YİRMİBİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PYD,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,26424005.14,44,0.144766,182529203
112,PARDUS,Pardus,PARDUS PORTFÖY YİRMİİKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PYI,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,795209815.28,44,3.110964,255615232
113,PARDUS,Pardus,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PYR,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,50615350.92,1040,1.145999,44166994
114,PUSULA,Pusula,PUSULA PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PHB,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,4544972896.88,15,0.863602,5262810617
115,PUSULA,Pusula,PUSULA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PBH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2915014607.08,12,1.215453,2398294516
116,PUSULA,Pusula,PUSULA PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PDG,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,214861102.4,11,0.408624,525815645
117,PUSULA,Pusula,PUSULA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PDC,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,233145617.26,15,0.214947,1084666311
118,PUSULA,Pusula,PUSULA PORTFÖY GÜNEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PGH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2613381839.41,12,1.967429,1328323644
119,PUSULA,Pusula,PUSULA PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PHN,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,0.0,18,0.0,0
120,PUSULA,Pusula,PUSULA PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PKD,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,6073841.65,102,0.916235,6629133
121,PUSULA,Pusula,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,PNU,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),6495458852.23,20397,1.283142,5062150367
122,PUSULA,Pusula,PUSULA PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),PKZ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,27807603557.62,16,6.530213,4258299901
123,PUSULA,Pusula,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,PRY,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),18923300311.92,39320,3.288388,5754582499
124,PUSULA,Pusula,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,PKM,Katılım Şemsiye Fonu,Katılım (Para Piyasası) Fonu,350723015.76,411,1.098537,319263668
125,PUSULA,Pusula,PUSULA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),PCS,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,0.0,28,0.0,0
126,TERA,Tera,TERA PORTFÖY BİRİNCİ SERBEST FON,TLY,Serbest Şemsiye Fonu,Diğer Serbest Fon,243624480154.28,102616,10308.967128,23632288
127,TERA,Tera,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),DOH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,45268031818.0,41799,2.566793,17636024843
128,TERA,Tera,TERA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),THF,Hisse Senedi Şemsiye Fonu,Hisse Senedi Fonu,142076701550.72,206326,2.923361,48600470181
129,TERA,Tera,TERA PORTFÖY PARA PİYASASI (TL) FONU,TP2,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),224391916391.0,167000,2.243343,100025680519
130,TERA,Tera,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,TLV,Katılım Şemsiye Fonu,Katılım (Para Piyasası) Fonu,4282993301.16,11866,1.403881,3050822817
131,TERA,Tera,TERA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),T3B,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,20743855332.47,18,0.147534,140603934957
