sira,portfoy_sirketi,sirket,fon_unvani,fon_kodu,semsiye_fon_turu,fon_tipi,portfoy_buyuklugu_tl,yatirimci_sayisi,fiyat,tedavuldeki_pay
25,ATLAS,Atlas,ATLAS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),UHS,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,460949431.06,13,8.565933,53811937
26,BULLS,Bulls,BULLS PORTFÖY ALGORİTMİK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BLA,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,3581016118.74,15,3.828743,935298004
27,BULLS,Bulls,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BOS,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,54065160.12,687,1.210891,44649089
28,BULLS,Bulls,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BBO,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,74374.01,8,0.0161,4619421
29,BULLS,Bulls,BULLS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BP5,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,42416207.92,11,1.585375,26754688
30,BULLS,Bulls,BULLS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BOH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,179828928.1,11,0.71768,250569682
31,BULLS,Bulls,BULLS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BI5,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2458690.79,10,0.869186,2828728
32,BULLS,Bulls,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BBN,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1329643719.87,13,0.577965,2300561650
33,BULLS,Bulls,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BDO,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1473121695.08,11,2.289882,643317774
34,BULLS,Bulls,BULLS PORTFÖY GMS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),IHY,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,172773265.05,1,5.142224,33598940
35,BULLS,Bulls,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BIK,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2390697739.52,15,1.027726,2326201151
36,BULLS,Bulls,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BMU,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,152540456.61,2308,2.446277,62356158
37,BULLS,Bulls,BULLS PORTFÖY PARA PİYASASI (TL) FONU,BPZ,Para Piyasası Şemsiye Fonu,Para Piyasası Fonu (PPF),1428227280.37,2496,1.642584,869500455
38,BULLS,Bulls,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),BSN,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,561180466.03,17,0.740631,757705438
39,BULLS,Bulls,BULLS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BUC,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,1450420.51,23,0.831726,1743869
40,BULLS,Bulls,BULLS PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YLZ,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,3325241.6,10,6.641119,500705
41,HEDEF,Hedef,HEDEF PORTFÖY ADA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HLR,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2764637842.66,13,106.76799,25893883
42,HEDEF,Hedef,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HEH,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,376310764.28,1386,3.350047,112329996
43,HEDEF,Hedef,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HAT,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,2810841.04,78,1.876227,1498135
44,HEDEF,Hedef,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HKM,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,41865475.15,845,3.727769,11230704
45,HEDEF,Hedef,HEDEF PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),HIM,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,283352434.92,204,4.063268,69735105
46,HEDEF,Hedef,HEDEF PORTFÖY ÇINAR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),HPL,Serbest Şemsiye Fonu,Hisse Senedi Yoğun Serbest,129585988.06,24,0.444069,291815213
