fon_kodu,fon_unvani,sirket_grubu,semsiye_fon_turu,portfoy_buyuklugu_tl,kaldirac_var,Hisse Senedi (%),Devlet Tahvili (%),Hazine Bonosu (%),Finansman Bonosu (%),Özel Sektör Tahvili (%),Varlığa Dayalı Menkul Kıymetler (%),Kamu Kira Sertifikaları (TL) (%),Özel Sektör Kira Sertifikaları (%),Ters-Repo (%),Repo (%),BİST Taahhütlü İşlem Pazarı Satım (%),Takasbank Para Piyasası (%),Borsa İstanbul Para Piyasası (%),Mevduat (TL) (%),Katılma Hesabı (TL) (%),Borsa Yatırım Fonları Katılma Payları (%),Yatırım Fonları Katılma Payları (%),Vadeli İşlemler Nakit Teminatları (%),Diğer (%),Girişim Sermayesi Yatırım Fonu Katılma Payları (%),Hisse Senedi (TL),Devlet Tahvili (TL),Hazine Bonosu (TL),Finansman Bonosu (TL),Özel Sektör Tahvili (TL),Varlığa Dayalı Menkul Kıymetler (TL),Kamu Kira Sertifikaları (TL) (TL),Özel Sektör Kira Sertifikaları (TL),Ters-Repo (TL),Repo (TL),BİST Taahhütlü İşlem Pazarı Satım (TL),Takasbank Para Piyasası (TL),Borsa İstanbul Para Piyasası (TL),Mevduat (TL) (TL),Katılma Hesabı (TL) (TL),Borsa Yatırım Fonları Katılma Payları (TL),Yatırım Fonları Katılma Payları (TL),Vadeli İşlemler Nakit Teminatları (TL),Diğer (TL),Girişim Sermayesi Yatırım Fonu Katılma Payları (TL)
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Tera,Serbest Şemsiye Fonu,243624480154.28,evet,87.43,,,4.49,,,,3.41,2.67,-7.61,,,,0.53,,,8.9,0.18,,,213000882998.89,,,10938739158.93,,,,8307594773.26,6504773620.12,-18539822939.74,,,,1291209744.82,,,21682578733.73,438524064.28,,
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Tera,Serbest Şemsiye Fonu,45268031818.0,,90.41,,,,,,,,,,,,,,,,9.5,0.09,,,40926827566.65,,,,,,,,,,,,,,,,4300463022.71,40741228.64,,
T3B,TERA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN),Tera,Serbest Şemsiye Fonu,20743855332.47,evet,96.86,,,2.53,,1.68,,0.24,,-3.78,,-2.8,,,,,3.09,0.2,,1.98,20092498275.03,,,524819539.91,,348496769.59,,49785252.8,,-784117731.57,,-580827949.31,,,,,640985129.77,41487710.66,,410728335.58
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Tera,Katılım Şemsiye Fonu,4282993301.16,,,,,,,,22.47,18.82,,,11.74,,,,37.04,9.93,,,,,,,,,,,962388594.77,806059339.28,,,502823413.56,,,,1586420718.75,425301234.81,,,,
TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,Tera,Para Piyasası Şemsiye Fonu,224391916391.0,,,9.76,,1.09,0.01,2.52,0.02,5.54,63.17,,,,15.7,,2.19,,,,,,,21900651039.76,,2445871888.66,22439191.64,5654676293.05,44878383.28,12431312168.06,141748373584.19,,,,35229530873.39,,4914182968.96,,,,,
PBH,PUSULA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,2915014607.08,,100.0,,,,,,,,,,,,,,,,,,,,2915014607.08,,,,,,,,,,,,,,,,,,,
PCS,PUSULA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC,PUSULA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,233145617.26,,100.0,,,,,,,,,,,,,,,,,,,,233145617.26,,,,,,,,,,,,,,,,,,,
PDG,PUSULA PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,214861102.4,,100.0,,,,,,,,,,,,,,,,,,,,214861102.4,,,,,,,,,,,,,,,,,,,
PGH,PUSULA PORTFÖY GÜNEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,2613381839.41,,95.71,,,,,,,,,,,,,,,,4.29,,,,2501267758.5,,,,,,,,,,,,,,,,112114080.91,,,
PHB,PUSULA PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,4544972896.88,evet,109.74,,,,,,,,,-9.74,,,,,,,,,,,4987653257.04,,,,,,,,,-442680360.16,,,,,,,,,,
PHN,PUSULA PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKD,PUSULA PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,6073841.65,,100.0,,,,,,,,,,,,,,,,,,,,6073841.65,,,,,,,,,,,,,,,,,,,
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Pusula,Katılım Şemsiye Fonu,350723015.76,,,,,,,,,41.66,,,,,,,44.04,,,,14.3,,,,,,,,,146111208.37,,,,,,,154458416.14,,,,50153391.25,
PKZ,PUSULA PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Pusula,Serbest Şemsiye Fonu,27807603557.62,evet,127.34,,,,,,,,,-16.5,,,-13.05,,,,2.21,,,,35410202370.27,,,,,,,,,-4588254587.01,,,-3628892264.27,,,,614548038.62,,,
PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Pusula,Para Piyasası Şemsiye Fonu,6495458852.23,,,0.01,,8.28,0.03,1.67,,1.7,,,,,86.63,0.08,,,,,1.6,,,649545.89,,537823992.96,1948637.66,108474162.83,,110422800.49,,,,,5627016003.69,5196367.08,,,,,103927341.64,
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Pusula,Para Piyasası Şemsiye Fonu,18923300311.92,,,,,7.96,0.47,,,3.86,53.31,,,,22.86,11.06,,,,,0.48,,,,,1506294704.83,88939511.47,,,730439392.04,10088011396.28,,,,4325866451.3,2092917014.5,,,,,90831841.5,
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,235555616.35,,100.0,,,,,,,,,,,,,,,,,,,,235555616.35,,,,,,,,,,,,,,,,,,,
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,841947.08,,94.4,,,,,,,,,,,,,,,,5.6,,,,794798.04,,,,,,,,,,,,,,,,47149.04,,,
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,1000259640.07,,98.47,,,,,,,,,,,,,,,,1.53,,,,984955667.58,,,,,,,,,,,,,,,,15303972.49,,,
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,7217043.62,,91.36,,,,,,,,,,,,,,,,8.64,,,,6593491.05,,,,,,,,,,,,,,,,623552.57,,,
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,12563921.0,,79.79,,,,,,,,,,,0.79,,,,,7.64,11.78,,,10024752.57,,,,,,,,,,,99254.98,,,,,959883.56,1480029.89,,
GCD,ATLAS PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,833463264.8,,100.0,,,,,,,,,,,,,,,,,,,,833463264.8,,,,,,,,,,,,,,,,,,,
KHD,ATLAS PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,737874351.34,,95.24,,,,,,,,,,4.29,,,,,,0.47,,,,702751532.22,,,,,,,,,,31654809.67,,,,,,3468009.45,,,
KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,96737211.04,,92.75,,,,,,,,,,,,,,4.62,,2.63,,,,89723763.24,,,,,,,,,,,,,,4469259.15,,2544188.65,,,
LAI,ATLAS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,173179364.65,,99.64,,,,,,,,,,,,,,,,0.36,,,,172555918.94,,,,,,,,,,,,,,,,623445.71,,,
LGO,ATLAS PORTFÖY ALGO TOROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,93873107.3,,94.13,,,,,,,,,,,,,,,,5.87,,,,88362755.9,,,,,,,,,,,,,,,,5510351.4,,,
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,Atlas,Serbest Şemsiye Fonu,17659972052.28,evet,111.4,,,,,,,,,-11.4,,,,,,,,,,,19673208866.24,,,,,,,,,-2013236813.96,,,,,,,,,,
DFI,ATLAS PORTFÖY SERBEST FON,Atlas,Serbest Şemsiye Fonu,31299597782.95,,62.8,,,0.26,,,,,,,,,,6.9,,,30.04,,,,19656147407.69,,,81378954.24,,,,,,,,,,2159672247.02,,,9402399174.0,,,
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Atlas,Para Piyasası Şemsiye Fonu,2166623302.22,,,12.98,,9.31,,0.09,,,24.22,,,,19.96,19.01,14.43,,,,,,,281227704.63,,201712629.44,,1949960.97,,,524756163.8,,,,432458011.12,411875089.75,312643742.51,,,,,
PSE,ATLAS PORTFÖY PARA PİYASASI SERBEST FON,Atlas,Serbest Şemsiye Fonu,22835199008.35,,,0.07,,7.63,,0.01,0.1,0.07,9.36,,,,64.04,12.34,6.38,,,,,,,15984639.31,,1742325684.34,,2283519.9,22835199.01,15984639.31,2137374627.18,,,,14623661444.95,2817863557.63,1456885696.73,,,,,
SNY,ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,365479640.14,,82.19,,,,,,,,,,,,,,,,17.32,0.49,,,300387716.23,,,,,,,,,,,,,,,,63301073.67,1790850.24,,
UHS,ATLAS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Atlas,Serbest Şemsiye Fonu,460949431.06,,99.87,,,,,,,,,,,,,,,,0.13,,,,460350196.8,,,,,,,,,,,,,,,,599234.26,,,
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,133830518.15,,90.51,,,,,,,,,,,,,,,,2.87,6.62,,,121130001.98,,,,,,,,,,,,,,,,3840935.87,8859580.3,,
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,318870200.67,,81.54,,,,,,,,,,,,,,,,5.64,12.82,,,260006761.63,,,,,,,,,,,,,,,,17984279.32,40879159.73,,
HAT,HEDEF PORTFÖY ATLAS İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,2810841.04,,83.89,,,,,,,,,,,,,,,,,16.11,,,2358014.55,,,,,,,,,,,,,,,,,452826.49,,
HBV,HEDEF PORTFÖY DORUK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,1060741191.55,,99.99,,,,,,,,,,,,,,,,,0.01,,,1060635117.43,,,,,,,,,,,,,,,,,106074.12,,
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,79008127.96,,79.67,,,,,,,,,,,,,,,,16.57,3.76,,,62945775.55,,,,,,,,,,,,,,,,13091646.8,2970705.61,,
HDH,HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,12268938657.68,,79.31,,,,,,,,,,,,,,,,19.6,0.17,,0.92,9730495249.41,,,,,,,,,,,,,,,,2404711976.91,20857195.72,,112874235.65
HDK,HEDEF PORTFÖY VEGA İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,11977938.92,,79.92,,,,,,,,,,,,,,,,0.05,20.03,,,9572768.78,,,,,,,,,,,,,,,,5988.97,2399181.17,,
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,376310764.28,,80.71,,,,,,,,,,,,,,,,0.11,19.18,,,303720417.85,,,,,,,,,,,,,,,,413941.84,72176404.59,,
HFI,HEDEF PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,60016872.22,,88.67,,,,,,,,,,,,,,,9.21,2.12,,,,53216960.6,,,,,,,,,,,,,,,5527553.93,1272357.69,,,
HGH,HEDEF PORTFÖY GÜNEŞ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,1011411.96,,82.18,,,,,,,,,,,,,,,,,17.82,,,831178.35,,,,,,,,,,,,,,,,,180233.61,,
HGJ,HEDEF PORTFÖY GÜNEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,989611351.18,evet,155.75,,,,,,,,,-45.49,,,-10.41,,,,,0.15,,,1541319679.46,,,,,,,,,-450174203.65,,,-103018541.66,,,,,1484417.03,,
HIM,HEDEF PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,283352434.92,evet,77.69,,,12.3,,,,3.8,,,,,-8.55,,,,8.73,6.03,,,220136506.69,,,34852349.5,,,,10767392.53,,,,,-24226633.19,,,,24736667.57,17086151.83,,
HIN,HEDEF PORTFÖY İNCİ HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Hedef,Serbest Şemsiye Fonu,11420806705.43,,,,,1.61,,,,,32.04,,,,29.12,28.13,9.09,,,,0.01,,,,,183874987.96,,,,,3659226468.42,,,,3325738912.62,3212672926.24,1038151329.52,,,,1142080.67,
