fon_kodu,fon_unvani,sirket_grubu,semsiye_fon_turu,portfoy_buyuklugu_tl,kaldirac_var,Hisse Senedi (%),Devlet Tahvili (%),Hazine Bonosu (%),Finansman Bonosu (%),Özel Sektör Tahvili (%),Varlığa Dayalı Menkul Kıymetler (%),Kamu Kira Sertifikaları (TL) (%),Özel Sektör Kira Sertifikaları (%),Ters-Repo (%),Repo (%),BİST Taahhütlü İşlem Pazarı Satım (%),Takasbank Para Piyasası (%),Borsa İstanbul Para Piyasası (%),Mevduat (TL) (%),Katılma Hesabı (TL) (%),Borsa Yatırım Fonları Katılma Payları (%),Yatırım Fonları Katılma Payları (%),Vadeli İşlemler Nakit Teminatları (%),Diğer (%),Girişim Sermayesi Yatırım Fonu Katılma Payları (%),Hisse Senedi (TL),Devlet Tahvili (TL),Hazine Bonosu (TL),Finansman Bonosu (TL),Özel Sektör Tahvili (TL),Varlığa Dayalı Menkul Kıymetler (TL),Kamu Kira Sertifikaları (TL) (TL),Özel Sektör Kira Sertifikaları (TL),Ters-Repo (TL),Repo (TL),BİST Taahhütlü İşlem Pazarı Satım (TL),Takasbank Para Piyasası (TL),Borsa İstanbul Para Piyasası (TL),Mevduat (TL) (TL),Katılma Hesabı (TL) (TL),Borsa Yatırım Fonları Katılma Payları (TL),Yatırım Fonları Katılma Payları (TL),Vadeli İşlemler Nakit Teminatları (TL),Diğer (TL),Girişim Sermayesi Yatırım Fonu Katılma Payları (TL)
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Hedef,Para Piyasası Şemsiye Fonu,6191421886.29,,,12.99,,2.85,,,,,56.74,,,,,27.42,,,,,,,,804265703.03,,176455523.76,,,,,3513012778.28,,,,,1697687881.22,,,,,,
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Hedef,Katılım Şemsiye Fonu,6021721509.95,,,,,,,,,8.45,,,49.27,,,,42.06,,,,0.22,,,,,,,,,508835467.59,,,2966902187.95,,,,2532736067.08,,,,13247787.32,
NFK,HEDEF PORTFÖY NEHİR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hedef,Serbest Şemsiye Fonu,1192021564.08,,90.2,,,,,,,,,,,,,,,,5.89,3.91,,,1075203450.8,,,,,,,,,,,,,,,,70210070.12,46608043.16,,
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST FON,Hedef,Serbest Şemsiye Fonu,16444799323.2,,,,,16.13,12.78,0.3,,0.36,15.65,,,0.34,18.48,26.99,8.94,,,,0.03,,,,,2652546130.83,2101645353.5,49334397.97,,59201277.56,2573611094.08,,,55912317.7,3038998914.93,4438451337.33,1470165059.49,,,,4933439.8,
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,10267005.32,,77.06,,,,,,,,,,,1.95,,,,,,20.99,,,7911754.3,,,,,,,,,,,200206.6,,,,,,2155044.42,,
BHN,A1 CAPİTAL PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,474095099.92,,99.82,,,,,,,,,,,0.18,,,,,,,,,473241728.74,,,,,,,,,,,853371.18,,,,,,,,
BYZ,A1 CAPİTAL PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,172077522.01,evet,115.25,,,,,,,,,,,,-15.25,,,,,,,,198319344.12,,,,,,,,,,,,-26241822.11,,,,,,,
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,14411214.29,,89.67,,,,,,,,,,,7.26,,,,,,2.79,0.28,,12922535.85,,,,,,,,,,,1046254.16,,,,,,402072.88,40351.4,
CBD,A1 CAPİTAL PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,586027587.88,evet,132.17,,,,,,,,,,,,-32.17,,,,,,,,774552662.9,,,,,,,,,,,,-188525075.02,,,,,,,
CHY,A1 CAPİTAL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,142970532.01,,99.6,,,,,,,,,,,0.4,,,,,,,,,142398649.88,,,,,,,,,,,571882.13,,,,,,,,
SEH,A1 CAPİTAL PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,104951051.69,,99.93,,,,,,,,,,,0.07,,,,,,,,,104877585.95,,,,,,,,,,,73465.74,,,,,,,,
P1A,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,A1 Capital + Pardus,Serbest Şemsiye Fonu,716886233.27,,,,,0.43,,,,,,,,75.88,23.69,,,,,,,,,,,3082610.8,,,,,,,,543973273.81,169830348.66,,,,,,,
PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,A1 Capital + Pardus,Para Piyasası Şemsiye Fonu,211205201.61,,,10.5,,0.49,,,,,69.17,,,0.02,19.82,,,,,,,,,22176546.17,,1034905.49,,,,,146090637.95,,,42241.04,41860870.96,,,,,,,
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,23394673.37,,74.99,,,,,,,,,,,,,,,,,25.01,,,17543665.56,,,,,,,,,,,,,,,,,5851007.81,,
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,3033937250.7,evet,159.21,,,,,,,,,,,,-59.21,,,,,,,,4830331496.84,,,,,,,,,,,,-1796394246.14,,,,,,,
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,2873820710.42,,81.02,,,,,,,,,,,,,,,,13.61,5.37,,,2328369539.58,,,,,,,,,,,,,,,,391126998.69,154324172.15,,
KHA,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Hisse Senedi Şemsiye Fonu,4057697812.55,,84.93,,,,,,,,,,,3.98,,0.25,,,5.82,5.02,,,3446202752.2,,,,,,,,,,,161496372.94,,10144244.53,,,236158012.69,203696430.19,,
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,721349167.31,evet,101.68,,,,,,,,,,,,-1.68,,,,,,,,733467833.32,,,,,,,,,,,,-12118666.01,,,,,,,
BDI,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,271188587.4,evet,131.88,,,,,,,,,,,,-31.88,,,,,,,,357643509.06,,,,,,,,,,,,-86454921.66,,,,,,,
BHH,PARDUS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,367908368.14,evet,318.74,,,,,,,,,,,,-218.74,,,,,,,,1172671132.61,,,,,,,,,,,,-804762764.47,,,,,,,
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,10073125.51,,97.36,,,,,,,,,,,,,,,,,2.64,,,9807195.0,,,,,,,,,,,,,,,,,265930.51,,
BSE,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,227317820.81,evet,219.82,,,,,,,,,,,,-119.82,,,,,,,,499690033.7,,,,,,,,,,,,-272372212.89,,,,,,,
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,36159899.09,,90.45,,,,,,,,,,,,,,,,,9.55,,,32706628.73,,,,,,,,,,,,,,,,,3453270.36,,
CSH,PARDUS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,3644151981.5,,98.02,,,,,,,,,,,,,,,,0.66,1.32,,,3571997772.27,,,,,,,,,,,,,,,,24051403.08,48102806.16,,
DHI,PARDUS PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,2107618683.55,evet,118.67,,,,,,,,,,,,-18.67,,,,,,,,2501111091.77,,,,,,,,,,,,-393492408.22,,,,,,,
DRH,PARDUS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,381045370.11,,99.88,,,,,,,,,,,,,,,,,0.12,,,380588115.67,,,,,,,,,,,,,,,,,457254.44,,
IAU,PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,16596778.5,,77.46,,,,,,,,,,,,,,,,,22.54,,,12855864.63,,,,,,,,,,,,,,,,,3740913.87,,
KRH,PARDUS PORTFÖY KARTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,2210676564.86,,88.27,,,,,,,,,,,,,,,,,11.73,,,1951364203.8,,,,,,,,,,,,,,,,,259312361.06,,
MGE,PARDUS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,251500154.53,evet,424.96,,,,,,,,,,,,-324.96,,,,,,,,1068775056.69,,,,,,,,,,,,-817274902.16,,,,,,,
OHI,PARDUS PORTFÖY ONUNCU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,1196539830.45,,99.72,,,,,,,,,,,,,,,,,0.28,,,1193189518.92,,,,,,,,,,,,,,,,,3350311.53,,
PAO,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,4316852.72,evet,98.75,,,,,,,,,,,,-4.61,,,,,5.86,,,4262892.06,,,,,,,,,,,,-199006.91,,,,,252967.57,,
PBY,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,161013434.51,evet,141.93,,,,,,,,,,,,-41.93,,,,,,,,228526367.6,,,,,,,,,,,,-67512933.09,,,,,,,
PCH,PARDUS PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,946947255.47,,98.63,,,,,,,,,,,,,,,,,1.37,,,933974078.07,,,,,,,,,,,,,,,,,12973177.4,,
PDH,PARDUS PORTFÖY DOĞU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,5679008506.28,,82.35,,,,,,,,,,,,,,,,9.42,8.23,,,4676663504.92,,,,,,,,,,,,,,,,534962601.29,467382400.07,,
PGE,PARDUS PORTFÖY GÜNEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,10672690552.28,,77.53,,,,,,,,,,,,,,,,4.97,17.5,,,8274536985.18,,,,,,,,,,,,,,,,530432720.45,1867720846.65,,
PHY,PARDUS PORTFÖY BATI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,639570889.27,,94.82,,,,,,,,,,,,,,,,5.13,0.05,,,606441117.21,,,,,,,,,,,,,,,,32809986.62,319785.44,,
PKU,PARDUS PORTFÖY KUZEY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,7984898436.66,,89.95,,,,,,,,,,,,,,,,9.12,0.93,,,7182416143.78,,,,,,,,,,,,,,,,728222737.42,74259555.46,,
PMH,PARDUS PORTFÖY MARMARA HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,39884.23,,100.0,,,,,,,,,,,,,,,,,,,,39884.23,,,,,,,,,,,,,,,,,,,
PMP,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,11836367.75,evet,113.87,,,,,,,,,,,,-13.87,,,,,,,,13478071.96,,,,,,,,,,,,-1641704.21,,,,,,,
PO7,PARDUS PORTFÖY ONYEDİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,1556039441.61,,81.54,,,,,,,,,,,,,,,,,18.46,,,1268794560.69,,,,,,,,,,,,,,,,,287244880.92,,
PO8,PARDUS PORTFÖY ONSEKİZİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,2464209.69,,100.0,,,,,,,,,,,,,,,,,,,,2464209.69,,,,,,,,,,,,,,,,,,,
PO9,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,189287896.13,,99.94,,,,,,,,,,,,,,,,,0.06,,,189174323.39,,,,,,,,,,,,,,,,,113572.74,,
POB,PARDUS PORTFÖY ONBİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,4420323890.67,,95.16,,,,,,,,,,,,,,,,,4.84,,,4206380214.36,,,,,,,,,,,,,,,,,213943676.31,,
POF,PARDUS PORTFÖY ONALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,2675995055.72,evet,161.65,,,,,,,,,,,,-61.65,,,,,,,,4325746007.57,,,,,,,,,,,,-1649750951.85,,,,,,,
POI,PARDUS PORTFÖY ONİKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,252040973.95,,89.69,,,,,,,,,,2.38,,,,,,7.93,,,,226055549.54,,,,,,,,,,5998575.18,,,,,,19986849.23,,,
POS,PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,67202327.71,,78.0,,,,,,,,,,,,,,,,,22.0,,,52417815.61,,,,,,,,,,,,,,,,,14784512.1,,
POU,PARDUS PORTFÖY ONÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,9135412314.69,,90.65,,,,,,,,,,,,,,,,4.03,5.32,,,8281251263.27,,,,,,,,,,,,,,,,368157116.28,486003935.14,,
PPO,PARDUS PORTFÖY ONDÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,134292883.34,evet,179.02,,,,,,,,,,,,-79.02,,,,,,,,240411119.76,,,,,,,,,,,,-106118236.42,,,,,,,
PSR,PARDUS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,1134886063.17,,94.1,,,,,,,,,,,,,,,,5.65,0.25,,,1067927785.44,,,,,,,,,,,,,,,,64121062.57,2837215.16,,
PST,PARDUS PORTFÖY SANAYİ SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,34550864.15,evet,205.11,,,,,,,,,,,,-105.11,,,,,,,,70867277.46,,,,,,,,,,,,-36316413.31,,,,,,,
PYD,PARDUS PORTFÖY YİRMİBİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,26424005.14,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,26424005.14,,,,,,,
PYI,PARDUS PORTFÖY YİRMİİKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,795209815.28,evet,120.34,,,,,,,,,,,,-20.34,,,,,,,,956955491.71,,,,,,,,,,,,-161745676.43,,,,,,,
PYR,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,50615350.92,evet,102.1,,,,,,,,,,,,-2.1,,,,,,,,51678273.29,,,,,,,,,,,,-1062922.37,,,,,,,
SHI,PARDUS PORTFÖY SEKİZİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),A1 Capital + Pardus,Serbest Şemsiye Fonu,772929578.55,,82.79,,,,,,,,,,,,,,,,10.96,6.25,,,639908398.08,,,,,,,,,,,,,,,,84713081.81,48308098.66,,
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,A1 Capital + Pardus,Para Piyasası Şemsiye Fonu,2010540345.02,,,11.17,0.66,3.72,,,,,52.78,,,12.1,7.85,11.72,,,,,,,,224577356.54,13269566.28,74792100.83,,,,,1061163194.1,,,243275381.75,157827417.08,235635328.44,,,,,,
